,Date
581,2020M07 
582,2020M07 
583,2020M07 
584,2020M07 
585,2020M07 
586,2020M07 
587,2020M07 
588,2020M07 
589,2020M07 
590,2020M07 
591,2020M07 
592,2020M07 
593,2020M07 
594,2020M07 
595,2020M07 
596,2020M07 
597,2020M07 
598,2020M07 
599,2020M07 
600,2020M07 
601,2020M07 
602,2020M07 
603,2020M07 
604,2020M07 
605,2020M07 
606,2020M07 
607,2020M07 
608,2020M07 
609,2020M07 
610,2020M07 
611,2020M07 
612,2020M07 
613,2020M07 
614,2020M07 
615,2020M07 
616,2020M07 
617,2020M07 
618,2020M07 
619,2020M07 
620,2020M07 
621,2020M07 
622,2020M07 
623,2020M07 
624,2020M07 
625,2020M07 
626,2020M07 
627,2020M07 
628,2020M07 
629,2020M07 
630,2020M07 
631,2020M07 
632,2020M07 
633,2020M07 
634,2020M07 
635,2020M07 
636,2020M07 
637,2020M07 
638,2020M07 
639,2020M07 
640,2020M07 
641,2020M07 
642,2020M07 
643,2020M07 
644,2020M07 
645,2020M07 
646,2020M07 
647,2020M07 
648,2020M07 
649,2020M07 
650,2020M07 
651,2020M07 
652,2020M07 
653,2020M07 
654,2020M07 
655,2020M07 
656,2020M07 
657,2020M07 
658,2020M07 
659,2020M07 
666,2020M07 
667,2020M07 
668,2020M07 
669,2020M07 
670,2020M07 
671,2020M07 
672,2020M07 
673,2020M07 
674,2020M07 
675,2020M07 
676,2020M07 
677,2020M07 
684,2020M07 
685,2020M07 
686,2020M07 
687,2020M07 
688,2020M07 
689,2020M07 
690,2020M07 
691,2020M07 
692,2020M07 
693,2020M07 
694,2020M07 
695,2020M07 
756,2020M07 
757,2020M07 
758,2020M07 
759,2020M07 
760,2020M07 
761,2020M07 
762,2020M07 
763,2020M07 
764,2020M07 
765,2020M07 
766,2020M07 
767,2020M07 
768,2020M07 
769,2020M07 
770,2020M07 
771,2020M07 
772,2020M07 
773,2020M07 
774,2020M07 
775,2020M07 
776,2020M07 
777,2020M07 
778,2020M07 
779,2020M07 
780,2020M07 
781,2020M07 
782,2020M07 
783,2020M07 
784,2020M07 
785,2020M07 
786,2020M07 
787,2020M07 
788,2020M07 
789,2020M07 
790,2020M07 
791,2020M07 
792,2020M07 
793,2020M07 
794,2020M07 
795,2020M07 
796,2020M07 
797,2020M07 
798,2020M07 
799,2020M07 
800,2020M07 
801,2020M07 
802,2020M07 
803,2020M07 
804,2020M07 
805,2020M07 
806,2020M07 
807,2020M07 
808,2020M07 
809,2020M07 
810,2020M07 
811,2020M07 
812,2020M07 
813,2020M07 
814,2020M07 
815,2020M07 
816,2020M07 
817,2020M07 
818,2020M07 
819,2020M07 
820,2020M07 
821,2020M07 
822,2020M07 
823,2020M07 
824,2020M07 
825,2020M07 
826,2020M07 
827,2020M07 
828,2020M07 
829,2020M07 
830,2020M07 
831,2020M07 
832,2020M07 
833,2020M07 
834,2020M07 
835,2020M07 
836,2020M07 
837,2020M07 
838,2020M07 
839,2020M07 
840,2020M07 
841,2020M07 
842,2020M07 
843,2020M07 
844,2020M07 
845,2020M07 
846,2020M07 
847,2020M07 
848,2020M07 
849,2020M07 
850,2020M07 
851,2020M07 
852,2020M07 
853,2020M07 
854,2020M07 
855,2020M07 
856,2020M07 
857,2020M07 
858,2020M07 
859,2020M07 
860,2020M07 
861,2020M07 
862,2020M07 
863,2020M07 
864,2020M07 
865,2020M07 
866,2020M07 
867,2020M07 
868,2020M07 
869,2020M07 
878,2020M07 
881,2020M07 
882,2020M07 
883,2020M07 
884,2020M07 
885,2020M07 
886,2020M07 
887,2020M07 
896,2020M07 
899,2020M07 
918,2020M07 
919,2020M07 
920,2020M07 
921,2020M07 
922,2020M07 
923,2020M07 
924,2020M07 
925,2020M07 
926,2020M07 
927,2020M07 
928,2020M07 
929,2020M07 
930,2020M07 
931,2020M07 
932,2020M07 
933,2020M07 
934,2020M07 
935,2020M07 
936,2020M07 
937,2020M07 
938,2020M07 
939,2020M07 
940,2020M07 
941,2020M07 
942,2020M07 
943,2020M07 
944,2020M07 
945,2020M07 
946,2020M07 
947,2020M07 
948,2020M07 
949,2020M07 
950,2020M07 
951,2020M07 
952,2020M07 
953,2020M07 
954,2020M07 
955,2020M07 
956,2020M07 
957,2020M07 
958,2020M07 
959,2020M07 
960,2020M07 
961,2020M07 
962,2020M07 
963,2020M07 
964,2020M07 
965,2020M07 
966,2020M07 
967,2020M07 
968,2020M07 
969,2020M07 
970,2020M07 
971,2020M07 
972,2020M07 
973,2020M07 
974,2020M07 
975,2020M07 
976,2020M07 
977,2020M07 
978,2020M07 
979,2020M07 
980,2020M07 
981,2020M07 
982,2020M07 
983,2020M07 
984,2020M07 
985,2020M07 
986,2020M07 
987,2020M07 
988,2020M07 
989,2020M07 
990,2020M07 
991,2020M07 
992,2020M07 
993,2020M07 
994,2020M07 
995,2020M07 
996,2020M07 
997,2020M07 
998,2020M07 
999,2020M07 
1000,2020M07 
1001,2020M07 
1002,2020M07 
1003,2020M07 
1004,2020M07 
1005,2020M07 
1006,2020M07 
1007,2020M07 
1008,2020M07 
1009,2020M07 
1010,2020M07 
1011,2020M07 
1012,2020M07 
1013,2020M07 
1014,2020M07 
1015,2020M07 
1016,2020M07 
1017,2020M07 
1018,2020M07 
1019,2020M07 
1020,2020M07 
1021,2020M07 
1022,2020M07 
1023,2020M07 
1024,2020M07 
1025,2020M07 
1026,2020M07 
1027,2020M07 
1028,2020M07 
1029,2020M07 
1030,2020M07 
1031,2020M07 
1032,2020M07 
1033,2020M07 
1034,2020M07 
1035,2020M07 
1036,2020M07 
1037,2020M07 
1038,2020M07 
1039,2020M07 
1040,2020M07 
1041,2020M07 
1042,2020M07 
1043,2020M07 
1044,2020M07 
1045,2020M07 
1046,2020M07 
1047,2020M07 
1048,2020M07 
1049,2020M07 
1050,2020M07 
1051,2020M07 
1052,2020M07 
1053,2020M07 
1054,2020M07 
1055,2020M07 
1056,2020M07 
1057,2020M07 
1058,2020M07 
1059,2020M07 
1060,2020M07 
1061,2020M07 
1062,2020M07 
1063,2020M07 
1064,2020M07 
1065,2020M07 
1066,2020M07 
1067,2020M07 
1068,2020M07 
1069,2020M07 
1070,2020M07 
1071,2020M07 
1072,2020M07 
1073,2020M07 
1074,2020M07 
1075,2020M07 
1076,2020M07 
1077,2020M07 
1078,2020M07 
1079,2020M07 
1080,2020M07 
1081,2020M07 
1082,2020M07 
1083,2020M07 
1084,2020M07 
1085,2020M07 
1086,2020M07 
1087,2020M07 
1088,2020M07 
1089,2020M07 
1090,2020M07 
1091,2020M07 
1092,2020M07 
1093,2020M07 
1094,2020M07 
1095,2020M07 
1096,2020M07 
1097,2020M07 
1098,2020M07 
1099,2020M07 
1100,2020M07 
1101,2020M07 
1102,2020M07 
1103,2020M07 
1104,2020M07 
1105,2020M07 
1106,2020M07 
1107,2020M07 
1108,2020M07 
1109,2020M07 
1110,2020M07 
1111,2020M07 
1112,2020M07 
1113,2020M07 
1114,2020M07 
1115,2020M07 
1116,2020M07 
1117,2020M07 
1118,2020M07 
1119,2020M07 
1120,2020M07 
1121,2020M07 
1122,2020M07 
1123,2020M07 
1124,2020M07 
1125,2020M07 
1126,2020M07 
1127,2020M07 
1128,2020M07 
1129,2020M07 
1130,2020M07 
1131,2020M07 
1132,2020M07 
1133,2020M07 
1134,2020M07 
1135,2020M07 
1136,2020M07 
1137,2020M07 
1138,2020M07 
1139,2020M07 
1140,2020M07 
1141,2020M07 
1142,2020M07 
1143,2020M07 
1144,2020M07 
1145,2020M07 
1146,2020M07 
1147,2020M07 
1148,2020M07 
1149,2020M07 
1150,2020M07 
1151,2020M07 
1152,2020M07 
1153,2020M07 
1154,2020M07 
1155,2020M07 
1156,2020M07 
1157,2020M07 
1158,2020M07 
1159,2020M07 
1160,2020M07 
1161,2020M07 
1162,2020M07 
1163,2020M07 
1164,2020M07 
1165,2020M07 
1166,2020M07 
1167,2020M07 
1168,2020M07 
1169,2020M07 
1170,2020M07 
1171,2020M07 
1172,2020M07 
1173,2020M07 
1174,2020M07 
1175,2020M07 
1176,2020M07 
1177,2020M07 
1178,2020M07 
1179,2020M07 
1180,2020M07 
1181,2020M07 
1182,2020M07 
1183,2020M07 
1184,2020M07 
1185,2020M07 
1186,2020M07 
1187,2020M07 
1188,2020M07 
1189,2020M07 
1190,2020M07 
1191,2020M07 
1192,2020M07 
1193,2020M07 
1194,2020M07 
1195,2020M07 
1196,2020M07 
1197,2020M07 
1198,2020M07 
1199,2020M07 
1200,2020M07 
1201,2020M07 
1202,2020M07 
1203,2020M07 
1204,2020M07 
1205,2020M07 
1206,2020M07 
1207,2020M07 
1208,2020M07 
1209,2020M07 
1210,2020M07 
1211,2020M07 
1212,2020M07 
1267,2020M07 
1268,2020M07 
1269,2020M07 
1270,2020M07 
1271,2020M07 
1272,2020M07 
1273,2020M07 
1274,2020M07 
1275,2020M07 
1276,2020M07 
1277,2020M07 
1278,2020M07 
1279,2020M07 
1280,2020M07 
1281,2020M07 
1282,2020M07 
1283,2020M07 
1284,2020M07 
1285,2020M07 
1286,2020M07 
1287,2020M07 
1288,2020M07 
1289,2020M07 
1290,2020M07 
1291,2020M07 
1292,2020M07 
1293,2020M07 
1294,2020M07 
1295,2020M07 
1296,2020M07 
1297,2020M07 
1298,2020M07 
1299,2020M07 
1300,2020M07 
1301,2020M07 
1302,2020M07 
1303,2020M07 
1304,2020M07 
1305,2020M07 
1306,2020M07 
1307,2020M07 
1308,2020M07 
1309,2020M07 
1310,2020M07 
1311,2020M07 
1312,2020M07 
1313,2020M07 
1314,2020M07 
1315,2020M07 
1316,2020M07 
1317,2020M07 
1318,2020M07 
1319,2020M07 
1320,2020M07 
1321,2020M07 
1322,2020M07 
1323,2020M07 
1324,2020M07 
1325,2020M07 
1326,2020M07 
1327,2020M07 
1328,2020M07 
1329,2020M07 
1330,2020M07 
1331,2020M07 
1332,2020M07 
1333,2020M07 
1334,2020M07 
1335,2020M07 
1336,2020M07 
1337,2020M07 
1338,2020M07 
1339,2020M07 
1340,2020M07 
1341,2020M07 
1342,2020M07 
1343,2020M07 
1344,2020M07 
1345,2020M07 
1346,2020M07 
1347,2020M07 
1348,2020M07 
1349,2020M07 
1350,2020M07 
1351,2020M07 
1352,2020M07 
1353,2020M07 
1354,2020M07 
1355,2020M07 
1356,2020M07 
1357,2020M07 
1358,2020M07 
1359,2020M07 
1360,2020M07 
1361,2020M07 
1362,2020M07 
1363,2020M07 
1364,2020M07 
1365,2020M07 
1366,2020M07 
1367,2020M07 
1368,2020M07 
1369,2020M07 
1370,2020M07 
1371,2020M07 
1372,2020M07 
1373,2020M07 
1374,2020M07 
1375,2020M07 
1376,2020M07 
1377,2020M07 
1378,2020M07 
1379,2020M07 
1380,2020M07 
1381,2020M07 
1382,2020M07 
1383,2020M07 
1384,2020M07 
1385,2020M07 
1386,2020M07 
1393,2020M07 
1394,2020M07 
1395,2020M07 
1396,2020M07 
1397,2020M07 
1398,2020M07 
1399,2020M07 
1400,2020M07 
1401,2020M07 
1402,2020M07 
1403,2020M07 
1404,2020M07 
1411,2020M07 
1412,2020M07 
1413,2020M07 
1414,2020M07 
1415,2020M07 
1416,2020M07 
1417,2020M07 
1418,2020M07 
1419,2020M07 
1420,2020M07 
1421,2020M07 
1422,2020M07 
1429,2020M07 
1430,2020M07 
1431,2020M07 
1432,2020M07 
1433,2020M07 
1434,2020M07 
1435,2020M07 
1436,2020M07 
1437,2020M07 
1438,2020M07 
1439,2020M07 
1440,2020M07 
1441,2020M07 
1442,2020M07 
1443,2020M07 
1444,2020M07 
1445,2020M07 
1446,2020M07 
1447,2020M07 
1448,2020M07 
1449,2020M07 
1450,2020M07 
1451,2020M07 
1452,2020M07 
1453,2020M07 
1454,2020M07 
1455,2020M07 
1456,2020M07 
1457,2020M07 
1458,2020M07 
1459,2020M07 
1460,2020M07 
1461,2020M07 
1462,2020M07 
1463,2020M07 
1464,2020M07 
1465,2020M07 
1466,2020M07 
1467,2020M07 
1468,2020M07 
1469,2020M07 
1470,2020M07 
1471,2020M07 
1472,2020M07 
1473,2020M07 
1474,2020M07 
1475,2020M07 
1476,2020M07 
1477,2020M07 
1478,2020M07 
1479,2020M07 
1480,2020M07 
1481,2020M07 
1482,2020M07 
1483,2020M07 
1484,2020M07 
1485,2020M07 
1486,2020M07 
1487,2020M07 
1488,2020M07 
1489,2020M07 
1490,2020M07 
1491,2020M07 
1492,2020M07 
1493,2020M07 
1494,2020M07 
1501,2020M07 
1502,2020M07 
1503,2020M07 
1504,2020M07 
1505,2020M07 
1506,2020M07 
1507,2020M07 
1508,2020M07 
1509,2020M07 
1510,2020M07 
1511,2020M07 
1512,2020M07 
1519,2020M07 
1520,2020M07 
1521,2020M07 
1522,2020M07 
1523,2020M07 
1524,2020M07 
1525,2020M07 
1526,2020M07 
1527,2020M07 
1528,2020M07 
1529,2020M07 
1530,2020M07 
1537,2020M07 
1538,2020M07 
1539,2020M07 
1540,2020M07 
1541,2020M07 
1542,2020M07 
1543,2020M07 
1544,2020M07 
1545,2020M07 
1546,2020M07 
1547,2020M07 
1548,2020M07 
1549,2020M07 
1550,2020M07 
1551,2020M07 
1552,2020M07 
1553,2020M07 
1554,2020M07 
1555,2020M07 
1556,2020M07 
1557,2020M07 
1558,2020M07 
1559,2020M07 
1560,2020M07 
1561,2020M07 
1562,2020M07 
1563,2020M07 
1564,2020M07 
1565,2020M07 
1566,2020M07 
1567,2020M07 
1568,2020M07 
1569,2020M07 
1570,2020M07 
1571,2020M07 
1572,2020M07 
1573,2020M07 
1574,2020M07 
1575,2020M07 
1576,2020M07 
1577,2020M07 
1578,2020M07 
1579,2020M07 
1580,2020M07 
1581,2020M07 
1582,2020M07 
1583,2020M07 
1584,2020M07 
1585,2020M07 
1586,2020M07 
1587,2020M07 
1588,2020M07 
1589,2020M07 
1590,2020M07 
1591,2020M07 
1592,2020M07 
1593,2020M07 
1594,2020M07 
1595,2020M07 
1596,2020M07 
1597,2020M07 
1598,2020M07 
1599,2020M07 
1600,2020M07 
1601,2020M07 
1602,2020M07 
1603,2020M07 
1604,2020M07 
1605,2020M07 
1606,2020M07 
1607,2020M07 
1608,2020M07 
1609,2020M07 
1610,2020M07 
1611,2020M07 
1612,2020M07 
1613,2020M07 
1614,2020M07 
1615,2020M07 
1616,2020M07 
1617,2020M07 
1618,2020M07 
1619,2020M07 
1620,2020M07 
1621,2020M07 
1622,2020M07 
1623,2020M07 
1624,2020M07 
1625,2020M07 
1626,2020M07 
1645,2020M06 
1646,2020M06 
1647,2020M06 
1648,2020M06 
1649,2020M06 
1650,2020M06 
1651,2020M06 
1652,2020M06 
1653,2020M06 
1654,2020M06 
1655,2020M06 
1656,2020M06 
1657,2020M06 
1658,2020M06 
1659,2020M06 
1660,2020M06 
1661,2020M06 
1662,2020M06 
1663,2020M06 
1664,2020M06 
1665,2020M06 
1666,2020M06 
1667,2020M06 
1668,2020M06 
1669,2020M06 
1670,2020M06 
1671,2020M06 
1672,2020M06 
1673,2020M06 
1674,2020M06 
1675,2020M06 
1676,2020M06 
1677,2020M06 
1678,2020M06 
1679,2020M06 
1680,2020M06 
1681,2020M06 
1682,2020M06 
1683,2020M06 
1684,2020M06 
1685,2020M06 
1686,2020M06 
1687,2020M06 
1688,2020M06 
1689,2020M06 
1690,2020M06 
1691,2020M06 
1692,2020M06 
1693,2020M06 
1694,2020M06 
1695,2020M06 
1696,2020M06 
1697,2020M06 
1698,2020M06 
1699,2020M06 
1700,2020M06 
1701,2020M06 
1702,2020M06 
1703,2020M06 
1704,2020M06 
1705,2020M06 
1706,2020M06 
1707,2020M06 
1708,2020M06 
1709,2020M06 
1710,2020M06 
1711,2020M06 
1712,2020M06 
1713,2020M06 
1714,2020M06 
1715,2020M06 
1716,2020M06 
1717,2020M06 
1718,2020M06 
1719,2020M06 
1720,2020M06 
1721,2020M06 
1722,2020M06 
1723,2020M06 
1724,2020M06 
1725,2020M06 
1726,2020M06 
1727,2020M06 
1728,2020M06 
1729,2020M06 
1730,2020M06 
1731,2020M06 
1732,2020M06 
1733,2020M06 
1734,2020M06 
1735,2020M06 
1736,2020M06 
1737,2020M06 
1738,2020M06 
1739,2020M06 
1740,2020M06 
1741,2020M06 
1742,2020M06 
1743,2020M06 
1744,2020M06 
1745,2020M06 
1746,2020M06 
1747,2020M06 
1748,2020M06 
1749,2020M06 
1750,2020M06 
1751,2020M06 
1752,2020M06 
1753,2020M06 
1754,2020M06 
1755,2020M06 
1756,2020M06 
1757,2020M06 
1758,2020M06 
1759,2020M06 
1760,2020M06 
1761,2020M06 
1762,2020M06 
1763,2020M06 
1764,2020M06 
1765,2020M06 
1766,2020M06 
1767,2020M06 
1768,2020M06 
1769,2020M06 
1770,2020M06 
1771,2020M06 
1772,2020M06 
1773,2020M06 
1774,2020M06 
1775,2020M06 
1776,2020M06 
1777,2020M06 
1778,2020M06 
1779,2020M06 
1780,2020M06 
1781,2020M06 
1782,2020M06 
1783,2020M06 
1784,2020M06 
1785,2020M06 
1786,2020M06 
1787,2020M06 
1788,2020M06 
1789,2020M06 
1790,2020M06 
1791,2020M06 
1792,2020M06 
1793,2020M06 
1794,2020M06 
1795,2020M06 
1796,2020M06 
1797,2020M06 
1798,2020M06 
1799,2020M06 
1800,2020M06 
1801,2020M06 
1802,2020M06 
1803,2020M06 
1804,2020M06 
1805,2020M06 
1806,2020M06 
1807,2020M06 
1808,2020M06 
1809,2020M06 
1810,2020M06 
1811,2020M06 
1812,2020M06 
1813,2020M06 
1814,2020M06 
1815,2020M06 
1816,2020M06 
1817,2020M06 
1818,2020M06 
1819,2020M06 
1820,2020M06 
1821,2020M06 
1822,2020M06 
1823,2020M06 
1824,2020M06 
1825,2020M06 
1826,2020M06 
1827,2020M06 
1828,2020M06 
1829,2020M06 
1830,2020M06 
1831,2020M06 
1832,2020M06 
1833,2020M06 
1834,2020M06 
1835,2020M06 
1836,2020M06 
1837,2020M06 
1838,2020M06 
1839,2020M06 
1840,2020M06 
1841,2020M06 
1842,2020M06 
1843,2020M06 
1844,2020M06 
1845,2020M06 
1846,2020M06 
1847,2020M06 
1848,2020M06 
1849,2020M06 
1850,2020M06 
1851,2020M06 
1852,2020M06 
1853,2020M06 
1854,2020M06 
1855,2020M06 
1856,2020M06 
1857,2020M06 
1858,2020M06 
1859,2020M06 
1860,2020M06 
1861,2020M06 
1862,2020M06 
1863,2020M06 
1864,2020M06 
1865,2020M06 
1866,2020M06 
1867,2020M06 
1868,2020M06 
1869,2020M06 
1870,2020M06 
1871,2020M06 
1872,2020M06 
1873,2020M06 
1874,2020M06 
1875,2020M06 
1876,2020M06 
1877,2020M06 
1878,2020M06 
1879,2020M06 
1880,2020M06 
1881,2020M06 
1882,2020M06 
1883,2020M06 
1884,2020M06 
1885,2020M06 
1886,2020M06 
1887,2020M06 
1888,2020M06 
1889,2020M06 
1890,2020M06 
1891,2020M06 
1892,2020M06 
1893,2020M06 
1894,2020M06 
1895,2020M06 
1896,2020M06 
1897,2020M06 
1898,2020M06 
1899,2020M06 
1900,2020M06 
1901,2020M06 
1902,2020M06 
1903,2020M06 
1904,2020M06 
1905,2020M06 
1906,2020M06 
1907,2020M06 
1908,2020M06 
1909,2020M06 
1910,2020M06 
1911,2020M06 
1912,2020M06 
1913,2020M06 
1914,2020M06 
1915,2020M06 
1916,2020M06 
1917,2020M06 
1918,2020M06 
1919,2020M06 
1920,2020M06 
1921,2020M06 
1922,2020M06 
1923,2020M06 
1924,2020M06 
1925,2020M06 
1926,2020M06 
1927,2020M06 
1928,2020M06 
1929,2020M06 
1930,2020M06 
1931,2020M06 
1932,2020M06 
1933,2020M06 
1934,2020M06 
1935,2020M06 
1936,2020M06 
1937,2020M06 
1938,2020M06 
1939,2020M06 
1940,2020M06 
1941,2020M06 
1942,2020M06 
1943,2020M06 
1944,2020M06 
1945,2020M06 
1946,2020M06 
1947,2020M06 
1948,2020M06 
1949,2020M06 
1950,2020M06 
1951,2020M06 
1952,2020M06 
1953,2020M06 
1954,2020M06 
1955,2020M06 
1956,2020M06 
1957,2020M06 
1958,2020M06 
1959,2020M06 
1960,2020M06 
1961,2020M06 
1962,2020M06 
1963,2020M06 
1964,2020M06 
1965,2020M06 
1966,2020M06 
1967,2020M06 
1968,2020M06 
1969,2020M06 
1970,2020M06 
1971,2020M06 
1972,2020M06 
1973,2020M06 
1974,2020M06 
1975,2020M06 
1976,2020M06 
1977,2020M06 
1978,2020M06 
1979,2020M06 
1980,2020M06 
1981,2020M06 
1982,2020M06 
1983,2020M06 
1984,2020M06 
1985,2020M06 
1986,2020M06 
1987,2020M06 
1988,2020M06 
1989,2020M06 
1990,2020M06 
1991,2020M06 
1992,2020M06 
1993,2020M06 
1994,2020M06 
1995,2020M06 
1996,2020M06 
1997,2020M06 
1998,2020M06 
1999,2020M06 
2000,2020M06 
2001,2020M06 
2002,2020M06 
2003,2020M06 
2004,2020M06 
2005,2020M06 
2006,2020M06 
2007,2020M06 
2008,2020M06 
2009,2020M06 
2010,2020M06 
2011,2020M06 
